atleta_id,nome,clube,posicao,status_id,preco,variacao,media,jogos,pontos_rodada,entrou_em_campo,mandante,adversario,residuo_z,armadilha_label,media_bayesiana,pb_media,confiabilidade,score_confronto_100,condicao_mando,pontos_esperados,oportunidade_confronto,vantagem_mando,time_momentum_of,time_momentum_def,adv_momentum_of,adv_momentum_def,forma_score_time,prob_vitoria
142638,João Victor,INT,Atacante,6,1.0,0.0,0.0,0,0.0,False,True,FLU,0.757,valor_bom,0.0,0.0,0.0,49.7,neutro,0.0,0.525,-20.6,1.083,0.929,1.064,1.04,0.45,0.419
94930,Lucas Paquetá,FLA,Meia,5,15.61,0.0,6.54,9,0.0,False,True,VAS,0.096,neutro,5.423,4.87,1.0,71.5,favoravel,7.75,0.725,70.0,1.1,1.2,0.722,0.821,0.9,0.625
90608,Chico da Costa,CRU,Atacante,6,4.16,-0.31,1.5,6,0.2,True,True,CAM,-0.383,neutro,1.796,0.67,0.75,64.0,neutro,1.72,0.375,42.8,1.376,0.619,1.114,1.095,0.85,0.477
142086,Kauan Toledo,BOT,Atacante,6,1.0,0.0,0.0,0,0.0,False,True,REM,0.757,valor_bom,0.0,0.0,0.0,75.8,favoravel,0.0,0.825,43.8,1.3,0.8,0.6,0.904,0.75,0.604
130698,Kadu,BOT,Lateral,6,1.0,0.0,0.0,0,0.0,False,True,REM,0.906,valor_bom,0.0,0.0,0.0,71.6,favoravel,0.0,0.675,43.8,1.3,0.8,0.6,0.904,0.75,0.604
147883,João Vitor,VAS,Atacante,6,1.18,0.0,0.67,3,0.0,False,False,FLA,1.217,valor_bom,0.701,0.67,0.375,28.9,desfavoravel,0.15,0.1,-70.0,0.722,0.821,1.1,1.2,0.4,0.256
112939,Catarozzi,REM,Meia,6,5.41,0.0,0.9,1,0.0,False,False,BOT,1.352,valor_bom,3.804,0.9,0.125,48.1,neutro,0.46,0.95,-43.8,0.6,0.904,1.3,0.8,0.175,0.568
123738,Herrera,RBB,Atacante,6,5.27,0.38,2.88,9,3.5,True,False,CHA,-0.294,neutro,2.474,1.99,1.0,73.3,neutro,3.63,1.0,5.6,1.56,0.867,0.436,1.252,0.5,
147782,Arthur Novaes,BOT,Meia,6,1.0,0.0,0.0,0,0.0,False,True,REM,0.8,valor_bom,0.0,0.0,0.0,75.8,favoravel,0.0,0.825,43.8,1.3,0.8,0.6,0.904,0.75,0.604
141406,Andrey Fernandes,VAS,Atacante,6,1.41,0.0,1.7,1,0.0,False,False,FLA,1.025,valor_bom,0.823,1.7,0.125,28.9,desfavoravel,0.06,0.1,-70.0,0.722,0.821,1.1,1.2,0.4,0.256
