atleta_id,nome,clube,posicao,status_id,preco,variacao,media,jogos,pontos_rodada,entrou_em_campo,mandante,adversario,residuo_z,armadilha_label,media_bayesiana,pb_media,confiabilidade,score_confronto_100
141614,Paulinho,SAO,Atacante,5,2.0,0.0,0.0,0,0.0,False,False,VIT,-0.569,armadilha_leve,0.0,0.0,0.0,33.2
106708,Igor Formiga,MIR,Lateral,7,8.07,-0.89,5.29,8,5.0,True,True,BAH,0.9,valor_bom,5.502,3.79,1.0,29.6
89256,Gerson,CRU,Meia,7,7.97,-0.23,2.61,9,2.2,True,True,RBB,-0.154,neutro,3.391,2.61,1.0,44.2
103388,Emmanuel Martínez,VIT,Meia,7,5.75,0.0,3.2,5,0.0,False,True,SAO,1.235,valor_bom,3.859,3.2,0.625,35.6
71536,Luiz Gustavo,CAP,Meia,7,6.08,0.09,3.12,7,2.8,True,True,CHA,0.952,valor_bom,3.734,2.41,0.875,68.5
110633,Gustavo,CFC,Meia,6,4.0,0.0,0.0,0,0.0,False,False,BOT,-1.988,armadilha_forte,0.0,0.0,0.0,60.8
146374,Gilberto,CAP,Lateral,6,4.28,0.0,6.2,1,0.0,False,True,CHA,-0.256,neutro,2.337,3.2,0.125,80.5
147864,Rafael Monti,REM,Atacante,6,3.56,0.0,0.0,1,0.0,False,True,VAS,0.151,neutro,1.933,0.0,0.125,57.0
147194,Bruninho,CAP,Meia,6,1.78,-0.32,-0.02,4,-0.3,True,True,CHA,0.409,neutro,0.53,0.0,0.5,68.5
142265,Dell,BAH,Atacante,6,1.82,-0.38,0.65,4,-0.3,True,False,MIR,0.425,neutro,0.851,0.65,0.5,70.6
105157,Villagra,INT,Meia,7,5.97,-0.37,2.16,5,2.2,True,True,GRE,0.704,valor_bom,3.459,2.16,0.625,72.9
114308,Cufré,REM,Lateral,6,3.45,0.0,-0.3,1,0.0,False,True,VAS,-0.337,neutro,1.615,0.0,0.125,42.2
