atleta_id,nome,clube,posicao,status_id,preco,variacao,media,jogos,pontos_rodada,entrou_em_campo,mandante,adversario,residuo_z,armadilha_label,media_bayesiana,pb_media,confiabilidade,score_confronto_100,condicao_mando,pontos_esperados,oportunidade_confronto,vantagem_mando,time_momentum_of,time_momentum_def,adv_momentum_of,adv_momentum_def,forma_score_time,prob_vitoria,prob_gols
106950,Fernando,CHA,Lateral,7,4.38,-0.31,3.1,2,1.2,True,True,BAH,0.551,valor_bom,3.343,3.1,0.25,36.3,neutro,3.33,0.25,-26.7,0.63,1.074,0.607,0.352,0.125,0.275,
150841,Fabricio Prado,INT,Atacante,6,1.0,0.0,0.0,0,0.0,False,True,REM,0.604,valor_bom,0.0,0.0,0.0,62.7,favoravel,1.46,0.9,12.2,0.574,1.304,1.015,0.856,0.275,0.582,
147468,Wellington,CHA,Goleiro,6,1.0,0.0,0.0,0,0.0,False,True,BAH,0.266,neutro,0.0,0.0,0.0,36.6,neutro,0.38,0.25,-26.7,0.63,1.074,0.607,0.352,0.125,0.275,
150842,Gabriel Vinicius,INT,Meia,6,1.0,0.0,0.0,0,0.0,False,True,REM,0.535,valor_bom,0.0,0.0,0.0,59.0,neutro,1.3,0.9,12.2,0.574,1.304,1.015,0.856,0.275,0.582,
122670,Diego Caito,GRE,Lateral,7,5.82,-0.36,5.35,2,1.9,True,False,CAM,0.179,neutro,3.793,2.35,0.25,16.4,desfavoravel,2.89,0.35,-46.0,1.4,1.4,0.933,0.778,0.525,0.0,0.467
114801,Danilo Pereira,BOT,Atacante,7,4.98,-0.02,1.2,1,1.2,True,False,VIT,-0.829,armadilha_leve,2.121,1.2,0.125,31.6,desfavoravel,1.64,0.1,-30.9,0.6,0.509,0.2,1.067,0.65,0.0,
144976,Domingos Andrade,BOT,Meia,6,5.0,0.0,0.0,0,0.0,False,False,VIT,-3.258,armadilha_forte,0.0,0.0,0.0,28.5,desfavoravel,0.04,0.1,-30.9,0.6,0.509,0.2,1.067,0.65,0.0,
95541,Gustavo Cazonatti,MIR,Meia,6,3.88,1.16,2.55,2,5.1,True,True,FLA,0.055,neutro,2.068,2.55,0.25,32.0,neutro,1.42,0.1,-9.1,1.05,0.98,1.185,0.467,0.5,0.229,0.467
151292,Felipe Morais,CRU,Meia,6,1.96,0.0,2.7,1,0.0,False,False,COR,0.704,valor_bom,1.211,2.7,0.125,37.5,desfavoravel,1.27,0.175,-7.8,1.027,0.568,1.65,0.44,0.75,0.0,
127871,Vargas,CAP,Atacante,6,7.23,-0.77,0.0,1,0.0,True,True,RBB,0.575,valor_bom,4.318,0.0,0.125,55.1,neutro,4.0,0.2,32.1,1.027,0.232,1.131,0.764,0.875,0.445,0.434
