atleta_id,nome,clube_id,clube,posicao_id,pontos,preco,variacao,scout_DS,scout_FC,scout_I,scout_FS,scout_SG,scout_CA,scout_FD,scout_FF,scout_PP,scout_G,scout_DE,scout_GS,scout_A,scout_GC,scout_PC,scout_FT,scout_V,scout_CV,scout_DP,scout_PS
92171,Arthur Cabral,263,BOT,5,,,,2.0,3.0,,1.0,,,1.0,1.0,,,,,,,,,,,,
92180,Jair Ventura,287,VIT,6,,,,,,,,,,,,,,,,,,,,,,,
92182,Juninho,285,INT,3,,,,,,,,1.0,,,,,,,,,,,,,,,
92273,Odair Hellmann,293,CAP,6,,,,,,,,,,,,,,,,,,,,,,,
92440,André Ramalho,264,COR,3,,,,1.0,1.0,,3.0,,1.0,,,,,,,,,,,,,,
92696,Renato Kayzer,287,VIT,5,,,,1.0,,,4.0,,,1.0,,,,,,,,,,,,,
92747,Eduardo Domínguez,282,CAM,6,,,,,,,,,,,,,,,,,,,,1.0,,,
92854,Borré,285,INT,5,,,,,3.0,1.0,,,,,1.0,,,,,,,,,,,,
93368,Lucas Veríssimo,277,SAN,3,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,
93478,Wanderson,283,CRU,5,,,,,1.0,,,,,,,,,,,,,,,,,,
93790,Marlon Freitas,275,PAL,4,,,,3.0,,,,,,,,,,,,,,,,,,,
93988,Breno Lopes,294,CFC,5,,,,1.0,,,,,,,1.0,,,,,,,,,,,,
94067,Matheus Fernandes,280,RBB,4,,,,3.0,1.0,,,,,,,,,,,,,,,,,,
94514,Lucas Oliveira,2305,MIR,3,,,,1.0,,1.0,,,,,,,,,,,,,,,,,
94583,Pedro,262,FLA,5,,,,,,,2.0,,,,,,1.0,,,,,,,,,,
94930,Lucas Paquetá,262,FLA,4,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,
94968,Juninho Capixaba,280,RBB,2,,,,1.0,2.0,,2.0,1.0,1.0,,2.0,,,,,,,,,,,,
95131,Gabriel Taliari,364,REM,5,,,,3.0,1.0,,1.0,,,1.0,1.0,,,,,,,,,,,,
95332,Marcinho,315,CHA,5,,,,,1.0,,,,,,,,,,,,,,,,,,
95362,Cassierra,282,CAM,5,,,,,1.0,,,,,,,,,,,,,,,,,,
