atleta_id,nome,clube_id,clube,posicao_id,posicao,status_id,preco,variacao,media,jogos,pontos_rodada,entrou_em_campo,scout_CA,scout_DE,scout_FS,scout_GS,scout_PC,scout_SG,scout_V,scout_DS,scout_FC,scout_FD,scout_G,scout_I,scout_FF,scout_A,scout_PS,scout_GC,scout_CV,scout_FT,scout_PP,scout_DP,mandante,adversario,prob_vitoria,prob_gols,tendencia,min_valorizar,pb_media,resiliencia_pct,confiabilidade,media_bayesiana,residuo_z,armadilha_label,custo_beneficio,cb_rank,status_label,time_pos,adv_pos,time_momentum_of,time_momentum_def,adv_momentum_of,adv_momentum_def,sequencia_time,forma_score_time,vantagem_mando,oportunidade_confronto,score_confronto,score_confronto_z,score_confronto_100,condicao_mando,pontos_esperados,caro_e_vale,recomendacao
124552,Lescano,267,VAS,4,Meia,7,10.74,3.38,9.25,2,15.5,True,,,,,,0.0,,6.0,1.0,,1.0,,1.0,0.0,1.0,,,,,,False,BOT,0.35,,alta,15.5,6.75,0.73,0.25,5.124,0.665,valor_bom,0.119,179,Provável,16.0,12.0,1.747,0.922,0.546,0.996,2.0,0.7,-29.5,0.95,0.6658,1.745,76.2,favoravel_visitante,4.75,False,WATCH
111412,Arthur Chaves,263,BOT,3,Zagueiro,2,6.0,0.0,0.0,0,0.0,False,,,,,,0.0,,,,,0.0,,,0.0,,,,,,,True,VAS,0.373,,estavel,0.0,0.0,0.0,0.0,0.0,-4.008,armadilha_forte,0.0,95,Dúvida,12.0,16.0,0.546,0.996,1.747,0.922,-1.0,0.425,29.5,0.575,0.5387,0.142,52.1,neutro,2.17,False,EVITAR
97133,Dudu,315,CHA,2,Lateral,7,5.98,1.98,6.5,1,6.5,True,,,,,,0.0,,1.0,,,0.0,,,1.0,,,,,,,False,VIT,0.203,,alta,6.5,1.5,0.231,0.125,3.979,0.212,neutro,0.083,103,Provável,20.0,13.0,1.117,0.713,1.0,1.2,1.0,0.45,-50.0,0.825,0.5154,-0.082,48.8,neutro,4.36,False,WATCH
106147,Thiago Carpini,364,REM,6,Técnico,7,8.47,0.63,4.13,1,4.13,True,,,,,,0.0,,,,,0.0,,,0.0,,,,,,,True,GRE,0.432,,alta,4.1,4.13,1.0,0.125,4.702,0.185,neutro,0.069,19,Provável,19.0,17.0,0.875,1.191,1.12,1.032,-5.0,0.0,23.8,0.525,0.4542,-0.428,43.6,neutro,4.24,False,WATCH
87211,Eduardo Baptista,285,INT,6,Técnico,7,7.18,0.0,0.0,0,0.0,False,,,,,,0.0,,,,,0.0,,,0.0,,,,,,,True,COR,0.453,,estavel,0.0,0.0,0.0,0.0,0.0,-3.683,armadilha_forte,0.0,20,Provável,18.0,14.0,1.12,1.244,0.772,1.75,-1.0,0.3,-2.6,0.25,0.4788,-0.188,47.2,neutro,2.11,False,EVITAR
68685,Alan Patrick,285,INT,4,Meia,7,7.22,-0.05,3.85,23,3.5,True,1.0,,35.0,,,0.0,,17.0,10.0,2.0,4.0,1.0,13.0,1.0,,,,,,,True,COR,0.453,,estavel,3.5,2.76,0.717,1.0,3.913,0.414,neutro,0.542,58,Provável,18.0,14.0,1.12,1.244,0.772,1.75,-1.0,0.3,-2.6,0.25,0.4788,-0.142,47.9,neutro,3.15,False,TITULAR
92171,Arthur Cabral,263,BOT,5,Atacante,7,9.48,0.37,5.63,20,3.5,True,3.0,,25.0,,,0.0,,14.0,31.0,14.0,7.0,3.0,21.0,1.0,,,1.0,,,,True,VAS,0.373,,estavel,3.5,2.58,0.458,1.0,5.447,0.808,valor_bom,0.575,44,Provável,12.0,16.0,0.546,0.996,1.747,0.922,-1.0,0.425,29.5,0.85,0.5236,0.157,52.4,neutro,4.52,False,WATCH
68928,Rafael,276,SAO,1,Goleiro,7,7.68,0.2,3.37,26,6.8,True,1.0,65.0,4.0,28.0,,6.0,,,,,0.0,,,0.0,,,,,,,False,CRU,0.247,,estavel,6.8,2.22,0.659,1.0,3.608,-0.49,neutro,0.47,26,Provável,11.0,6.0,0.844,0.72,1.333,1.12,1.0,0.65,-38.1,0.25,0.3464,-1.287,30.7,desfavoravel,3.79,False,TITULAR
87008,Léo Jardim,267,VAS,1,Goleiro,7,6.49,0.11,2.89,26,6.3,True,1.0,76.0,3.0,40.0,,3.0,,1.0,1.0,,0.0,,,0.0,,,,,,,False,BOT,0.35,,estavel,6.3,2.31,0.799,1.0,3.24,-0.429,neutro,0.499,22,Provável,16.0,12.0,1.747,0.922,0.546,0.996,2.0,0.7,-29.5,0.25,0.4532,-0.487,42.7,neutro,3.77,False,TITULAR
109573,Martinelli,266,FLU,4,Meia,7,6.65,0.76,2.84,19,10.2,True,5.0,,13.0,,,0.0,,21.0,28.0,6.0,0.0,,9.0,3.0,,,,,,,True,CFC,0.623,,alta,10.2,2.05,0.722,1.0,3.211,-0.256,neutro,0.483,92,Provável,4.0,9.0,1.273,1.244,1.362,1.693,1.0,0.675,33.4,0.75,0.7567,2.662,89.9,neutro,3.65,False,TITULAR
